canvas,canvas
cashmere,cashmere
chiffon,chiffon
corduroy,corduroy
jersey,cotton
supimacotton,cotton
knit,cotton
denim,denim
jeans,denim
jean,denim
felted,felt
felt,felt
plaid,flannel
flannel,flannel
fleece,fleece
chambray,chambray
camel hair,fur
calfhair,fur
camelhair,fur
shearlig,fur
cotton,cotton
goose,goose
lacey,lace
lace,lace
calfskin,leather
lambskin,leather
goat,leather
cowhide,leather
calf,leather
lamb,leather
goatskin,leather
kangaroo,leather
snakeskin,leather
python,leather
snake,leather
ostrich,leather
alligator,leather
gator,leather
croc,leather
crocodile,leather
linen,linen
neoprene,neoprene
rubber,neoprene
satin,satin
silk,silk
nubuck,suede
suede,suede
rayon,synthetic
synthetic,synthetic
spandex,synthetic
viscose,synthetic
polyester,synthetic
elastane,synthetic
lycra,synthetic
nylon,synthetic
acrylic,synthetic
acetate,synthetic
polyurethane,synthetic
poly,synthetic
manmade,synthetic
man-made,synthetic
plastic,synthetic
modal,synthetic
eva,synthetic
foam,synthetic
velcro,synthetic
lurex,synthetic
tulled,tulle
tulle,tulle
tweed,tweed
velvet,velvet
wool,wool
wooden,wood
